camera,metric,est,lower95,upper95
inview,npv,0.882113821138211,0.845657685463679,0.904540194677013
inview,ppv,0.669724770642202,0.576740994854203,0.72310523087707
inview,sens,0.715686274509804,0.62621359223301,0.778658923872607
inview,spec,0.857707509881423,0.825421741865386,0.884691379869651
peek,npv,0.740061162079511,0.703176753989762,0.7782917383821
peek,ppv,0.607142857142857,0.398440545808967,0.678796992481203
peek,sens,0.166666666666667,0.08693733451015,0.208855820705925
peek,spec,0.956521739130435,0.947852895837921,0.975639046148568
pictor,npv,0.905138339920949,0.879527559055118,0.948673382052801
pictor,ppv,0.764705882352941,0.653890396093326,0.807139214686385
pictor,sens,0.764705882352941,0.699453186028345,0.875978083245218
pictor,spec,0.905138339920949,0.864949446316803,0.929531982659471
